龍🐉重温经典,#genre#
CCTV1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://222.174.140.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://222.174.140.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://1.24.190.98:10080/hls/1/index.m3u8
CCTV2,http://1.24.190.98:10080/hls/2/index.m3u8
CCTV3,http://1.24.190.98:10080/hls/3/index.m3u8
CCTV4,http://1.24.190.98:10080/hls/4/index.m3u8
CCTV5,http://1.24.190.98:10080/hls/5/index.m3u8
CCTV5+,http://1.24.190.98:10080/hls/16/index.m3u8
CCTV6,http://1.24.190.98:10080/hls/6/index.m3u8
CCTV7,http://1.24.190.98:10080/hls/7/index.m3u8
CCTV8,http://1.24.190.98:10080/hls/8/index.m3u8
CCTV9,http://1.24.190.98:10080/hls/9/index.m3u8
CCTV10,http://1.24.190.98:10080/hls/10/index.m3u8
CCTV11,http://1.24.190.98:10080/hls/11/index.m3u8
CCTV12,http://1.24.190.98:10080/hls/12/index.m3u8
CCTV13,http://1.24.190.98:10080/hls/13/index.m3u8
CCTV14,http://1.24.190.98:10080/hls/14/index.m3u8
CCTV15,http://1.24.190.98:10080/hls/15/index.m3u8

CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV2,http://124.116.183.146:9901/tsfile/live/0002_1.m3u8
CCTV3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV8,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV13,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8
CCTV14,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV15,http://124.116.183.146:9901/tsfile/live/0015_1.m3u8

CCTV13,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/2300.m3u8
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1综合,https://tv.cry33.com/51.php?id=2022576803.m3u8
CCTV2财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2财经,https://tv.cry33.com/51.php?id=2022576703.m3u8
CCTV3综艺,https://tv.cry33.com/51.php?id=2022576503.m3u8
CCTV4国际,https://tv.cry33.com/51.php?id=2022576603.m3u8
CCTV5体育,https://tv.cry33.com/51.php?id=2022576403.m3u8
CCTV6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6电影,https://tv.cry33.com/51.php?id=2013693903.m3u8
CCTV7国防军事,https://tv.cry33.com/51.php?id=2022576203.m3u8
CCTV8电视剧,https://tv.cry33.com/51.php?id=2022576103.m3u8
CCTV9记录,https://tv.cry33.com/51.php?id=2022576003.m3u8
CCTV10科教,https://tv.cry33.com/51.php?id=2022573003.m3u8
CCTV11戏曲,https://tv.cry33.com/51.php?id=2022575903.m3u8
CCTV12社会与法,https://tv.cry33.com/51.php?id=2022575803.m3u8
CCTV13新闻,https://tv.cry33.com/51.php?id=2022575703.m3u8
CCTV14少儿,https://tv.cry33.com/51.php?id=2022575603.m3u8
CCTV15音乐,https://tv.cry33.com/51.php?id=2022575503.m3u8
CCTV16奥林匹克,https://tv.cry33.com/51.php?id=2022575403.m3u8
CCTV16-4K,https://tv.cry33.com/51.php?id=2022575103.m3u8
CCTV17农业农村,https://tv.cry33.com/51.php?id=2022575303.m3u8
CCTV5+体育赛事,https://tv.cry33.com/51.php?id=2022576303.m3u8
CCTV4K超高清,https://tv.cry33.com/51.php?id=2022575203.m3u8
CCTV8K超高清,https://tv.cry33.com/51.php?id=2020603423.m3u8
CCTV8K超高清,https://tv.cry33.com/51.php?id=2020603463.m3u8
CGTN,https://tv.cry33.com/51.php?id=2022575003.m3u8
CGTN法语,https://tv.cry33.com/51.php?id=2022574903.m3u8
CGTN俄语,https://tv.cry33.com/51.php?id=2022574803.m3u8
CGTN阿拉伯语,https://tv.cry33.com/51.php?id=2022574603.m3u8
CGTN西班牙语,https://tv.cry33.com/51.php?id=2022571703.m3u8
CGTN外语纪录,https://tv.cry33.com/51.php?id=2022574703.m3u8
CCTV风云剧场,https://tv.cry33.com/51.php?id=2012513603.m3u8
CCTV第一剧场,https://tv.cry33.com/51.php?id=2012514403.m3u8
CCTV怀旧剧场,https://tv.cry33.com/51.php?id=2012511203.m3u8
CCTV世界地理,https://tv.cry33.com/51.php?id=2012513303.m3u8
CCTV风云音乐,https://tv.cry33.com/51.php?id=2012514103.m3u8
CCTV兵器科技,https://tv.cry33.com/51.php?id=2012513403.m3u8
CCTV风云足球,https://tv.cry33.com/51.php?id=2012514203.m3u8
CCTV高尔夫网球,https://tv.cry33.com/51.php?id=2012512503.m3u8
CCTV女性时尚,https://tv.cry33.com/51.php?id=2012513903.m3u8
CCTV央视文化精品,https://tv.cry33.com/51.php?id=2012513803.m3u8
CCTV央视台球,https://tv.cry33.com/51.php?id=2012513703.m3u8
CCTV电视指南,https://tv.cry33.com/51.php?id=2012514003.m3u8
CCTV卫生健康,https://tv.cry33.com/51.php?id=2012513503.m3u8
CCTV-娱乐,http://110.72.72.90:808/hls/66/index.m3u8
中教一套,https://tv.cry33.com/51.php?id=2022823801.m3u8
中教一套,http://182.137.255.59:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://171.221.27.11:5010/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://118.122.242.46:5031/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://118.122.242.88:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is 

CCTV13-新闻,http://live-play.cctvnews.cctv.com/cctv/merge_cctv13.flv

CCTV1-综合,http://58.210.23.42:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2-财经,http://58.210.23.42:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://58.210.23.42:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://58.210.23.42:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://58.210.23.42:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5＋高清,http://219.145.20.108:2883/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6-电影,http://58.210.23.42:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://58.210.23.42:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://58.210.23.42:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://58.210.23.42:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://58.210.23.42:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://58.210.23.42:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://58.210.23.42:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://58.210.23.42:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://58.210.23.42:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://58.210.23.42:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130

CCTV1-综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2-财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3-综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4-国际,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5-体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6-电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7-军农,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
TTCV8-电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9-记录,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10-科教,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11-戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12-社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13-新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14-少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15-音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16-奥运,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17-农业,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8

CCTV1-综合,http://219.145.20.108:2883/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://219.145.20.108:2883/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://219.145.20.108:2883/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://219.145.20.108:2883/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://219.145.20.108:2883/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://219.145.20.108:2883/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://219.145.20.108:2883/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://219.145.20.108:2883/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://219.145.20.108:2883/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://219.145.20.108:2883/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://219.145.20.108:2883/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://219.145.20.108:2883/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://219.145.20.108:2883/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://219.145.20.108:2883/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://219.145.20.108:2883/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5＋高清,http://219.145.20.108:2883/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0

龍🐉央視二,#genre#
CCTV1综合,http://113.98.122.166:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV2财经,http://113.98.122.166:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV3综艺,http://113.98.122.166:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4中文国际,http://113.98.122.166:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5体育,http://113.98.122.166:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6电影,http://113.98.122.166:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV7国防军事,http://113.98.122.166:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV8电视剧,http://113.98.122.166:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV9纪录,http://113.98.122.166:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10科教,http://113.98.122.166:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV11戏曲,http://113.98.122.166:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV12社会与法,http://113.98.122.166:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV13新闻,http://113.98.122.166:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV14少儿,http://113.98.122.166:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV15音乐,http://113.98.122.166:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV16奥利匹克,http://113.98.122.166:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV17农业农村,http://113.98.122.166:9901/tsfile/live/1017_1.m3u8?key=txiptv
CCTV1高清,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV2高清,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8
CCTV3高清,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV4高清,http://1b6467f415.iok.la:9931/tsfile/live/1023_1.m3u8
CCTV5高清,http://1b6467f415.iok.la:9931/tsfile/live/1024_1.m3u8
CCTV5+高清,http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8
CCTV6高清,http://1b6467f415.iok.la:9931/tsfile/live/1026_1.m3u8
CCTV7高清,http://1b6467f415.iok.la:9931/tsfile/live/1027_1.m3u8
CCTV8高清,http://1b6467f415.iok.la:9931/tsfile/live/1028_1.m3u8
CCTV9高清,http://1b6467f415.iok.la:9931/tsfile/live/1029_1.m3u8
CCTV10高清,http://1b6467f415.iok.la:9931/tsfile/live/1030_1.m3u8
CCTV11高清,http://1b6467f415.iok.la:9931/tsfile/live/1031_1.m3u8
CCTV12高清,http://1b6467f415.iok.la:9931/tsfile/live/1032_1.m3u8
CCTV13高清,http://1b6467f415.iok.la:9931/tsfile/live/1033_1.m3u8
CCTV14高清,http://1b6467f415.iok.la:9931/tsfile/live/1034_1.m3u8
CCTV-16高清,http://1b6467f415.iok.la:9931/tsfile/live/1094_1.m3u8
CCTV15高清,http://1b6467f415.iok.la:9931/tsfile/live/1035_1.m3u8
CCTV17高清,http://1b6467f415.iok.la:9931/tsfile/live/1130_1.m3u8
CCTV-1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-13,http://221.1.210.106:8053/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$山东菏泽 联通
CCTV-14,http://222.174.140.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-15,http://222.174.140.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$山东日照 电信
CCTV-16,http://1.30.18.218:20080/hls/16/index.m3u8$内蒙古呼和浩特 联通
CCTV-17,http://221.1.210.106:8053/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$山东菏泽 联通
CCTV1-综合,http://123.160.235.166:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.160.235.166:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.160.235.166:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
